prospect_id,business_name,website,audit_score,primary_leak,secondary_leak,evidence_level,recommended_system,recommended_tier,outreach_angle,decision_maker_status,contact_channel,contact_status,reply_status,conversation_status,demo_status,proposal_status,close_status,next_action,last_contact_date,notes
P01,CW Real Estate,https://cwlagos.com,34,WhatsApp Integration (no auto-response on a lead-gen site),Appointment Management (no online booking),supported,Critical: WhatsApp Lead Response / High: Follow-Up + Booking,Growth,Lead with critical WhatsApp gap on luxury brokerage enquiry flow,unknown,Email: hello@cwlagos.com; Phone: +2348146401276,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Verify decision-maker on cwlagos.com then send brief #1,,Tier 1 - lowest score in batch
P02,Homework Group,https://homeworkgroup.ng,39,WhatsApp Integration,Appointment Management,supported,WhatsApp Lead Response + Booking,Growth,Developer with no WhatsApp response path despite heavy enquiry intent,unknown,Email: webmaster@homeworkgroup.ng,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Lead with the site being DOWN when contacting - urgency hook (contact via phone/linkedin, not the dead site),,DEEP RESEARCH 2026-09-04: site is SUSPENDED (cgi-sys/suspendedpage.cgi, "Account Suspended") - hosting lapsed. Bigger opener than the audit: their web presence is currently dark.
P03,Alpha Mead Group,https://alphamead.com,39,WhatsApp Integration,Customer Management (no CRM),supported,WhatsApp Lead Response + Follow-Up,Growth,Property manager - portfolio enquiries have no response or follow-up loop,unknown,,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via alphamead.com then send brief #3,,Tier 1
P04,Knight Frank Nigeria,https://www.knightfrank.com.ng,44,WhatsApp Integration,Appointment Management,supported,WhatsApp Lead Response + Booking,Growth,Large org - pitch marketing/ops lead on the Nigeria-site gaps,unknown,,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Find right stakeholder then send brief #4,,Tier 1
P05,Broll Nigeria,https://www.broll.com.ng,51,WhatsApp Integration,Appointment Management,supported,WhatsApp Lead Response + Booking,Growth,Property management enquiry handling,unknown,Email: Brenda@eclipsecoms.com; Phone: +2348148723268,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via broll.com.ng then send brief #5,,Tier 1
P06,Veritasi Homes,https://veritasi.com,51,WhatsApp Integration,Customer Management (no CRM),supported,WhatsApp Lead Response + Follow-Up,Growth,Agency/developer with critical WhatsApp gap,unknown,Email: user@domain.com,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Send brief #06 via user@domain.com - contact found via Scrapling deep research,,Tier 1
P07,Gracias Global,https://graciasglobal.com,54,Appointment Management,Email Marketing (unused social reach),supported,Booking Automation,Growth,Appointment flow absent despite enquiries,unknown,Email: hello@graciasglobal.com; Phone: +2347034100176,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via graciasglobal.com then send brief #7,,Tier 2
P08,Megamound,https://megamound.com,57,Appointment Management,Customer Management (no CRM),supported,Booking Automation + Follow-Up,Growth,Developer - no way to book or track after form,unknown,Email: info@megamound.com; Phone: +07074908153,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via megamound.com then send brief #8,,Tier 2
P09,Adron Homes,https://adronhomesproperties.com,62,Appointment Management,Customer Management (no CRM),supported,Booking Automation + Follow-Up,Growth,Large developer - high volume manual scheduling,unknown,Email: %20md@adronhomes.com; WhatsApp link,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via adronhomesproperties.com then send brief #9,,Tier 2
P10,Chaman Properties,https://chamanproperties.com,64,Appointment Management,Live Chat (no chat/instant reply),supported,Booking Automation + WhatsApp Lead Response,Growth,Luxury + diaspora buyers need remote scheduling,unknown,Email: chamanpropertiesltd@gmail.com; Phone: +08065553671,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via chamanproperties.com then send brief #10,,Tier 2
